"secretaria","codigodepartamento","nombredepartamento","codigomunicipio","nombremunicipio","codigoestablecimiento","nombreestablecimiento","zona","direccion","telefono","nombre_Rector","tipo_Establecimiento","etnias","sector","genero","niveles","jornadas","caracter","especialidad","grados","modelos_Educativos","capacidades_Excepcionales","discapacidades","idiomas","numero_de_Sedes","estado","prestador_de_Servicio","propiedad_Planta_Fisica","resguardo","matricula_Contratada","calendario","internado","estrato_Socio_Economico","correo_Electronico"
"BUCARAMANGA","68","SANTANDER","68,001","BUCARAMANGA","368,001,000,290","FUND COL NUEVA GENERACION JUVENIL                                                                   ","URBANA","CLL 8 NO 22-57","6714515","JOSE LUIS CORTES PALOMINO","INSTITUCION EDUCATIVA",,,,"MEDIA,BÁSICA SECUNDARIA","MAÑANA,NOCTURNA",,"ACADÉMICA","6,7,8,9,10,11","EDUCACIÓN TRADICIONAL",,,"INGLÉS","1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","A",,,"                                                  "
"BUCARAMANGA","68","SANTANDER","68,001","BUCARAMANGA","368,001,006,298","COL  MUNDO CONSTRUCTIVO                                                                             ","URBANA","CLL 84 NO 24ª - 60","6363107","EMILSE CARREÑO VASQUEZ","CENTRO EDUCATIVO",,,,"PREESCOLAR","TARDE",,,"-3","EDUCACIÓN TRADICIONAL",,,"INGLÉS","1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","A",,,"                                                  "
"BUCARAMANGA","68","SANTANDER","68,001","BUCARAMANGA","368,001,000,907","COL  ATENAS                                                                                         ","URBANA","CR 26 NO 33-73","64.510.926.454.952","NELLY RIVEROS LONDOÑO","INSTITUCION EDUCATIVA",,,,"MEDIA","FIN DE SEMANA",,"ACADÉMICA","10,11","EDUCACIÓN TRADICIONAL",,,"INGLÉS","1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","A",,,"                                                  "
"SANTANDER","68","SANTANDER","68,077","BARBOSA","368,077,000,264","COLEGIO EVANGÉLICO INTERAMERICANO                                                                   ","URBANA","CARRERA 10 # 9 - 12","748 12 55                                         ","ELBA SERRANO DE TOVAR","CENTRO EDUCATIVO",,,,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA",,,"-2,-1,0,1,2,3,4,5,6,7","EDUCACIÓN TRADICIONAL",,"DI-COGNITIVO,SÍNDROME DE DOWN","INGLÉS","1",,"COMUNIDAD RELIGIOSA","COMUNIDAD RELIGIOSA","NO APLICA","NO","A",,,"                                                  "
"NORTE SANTANDER","54","NORTE DE SANTANDER","54,874","VILLA DEL ROSARIO","354,874,000,619","COL NUESTRA SEÑORA DEL ROSARIO","URBANA","CLL 6 8-48 B.GRAMALOTE","5707048","FRANCISCO ANTONIO PANQUEVA","INSTITUCION EDUCATIVA",,,,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA",,"ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","EDUCACIÓN TRADICIONAL",,,,"1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","A",,,"-"
"NORTE SANTANDER","54","NORTE DE SANTANDER","54,810","TIBÚ","354,810,000,429","LIC MIXTO GUZMAN BERTTY","URBANA","CLL 7  8-26 BARRIO LIBERTADORES","-","NELSON ACEVEDO","CENTRO EDUCATIVO",,,,"BÁSICA PRIMARIA","MAÑANA",,,"1,2,3,4,5","EDUCACIÓN TRADICIONAL",,,,"1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","A",,,"-"
"NORTE SANTANDER","54","NORTE DE SANTANDER","54,498","OCAÑA","354,498,002,346","JARD INF PUCHERITOS","URBANA","CAR 28 3-55 B.1O. DE MAYO","5695618","HELENA ISABEL GARCIA","CENTRO EDUCATIVO",,,,"PREESCOLAR","MAÑANA",,,"-3","EDUCACIÓN TRADICIONAL",,,,"1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","A",,,"-"
"NORTE SANTANDER","54","NORTE DE SANTANDER","54,518","PAMPLONA","354,518,001,309","JARD INF ESTRELLITAS CREATIVAS","URBANA","CR 7 4-68","5683310","MARILUZ GARZON PEREZ","CENTRO EDUCATIVO",,,,"PREESCOLAR","COMPLETA",,,"-3","EDUCACIÓN TRADICIONAL",,,,"1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","A",,,"-"
"NORTE SANTANDER","54","NORTE DE SANTANDER","54,498","OCAÑA","354,498,001,749","UNID PREESC Y PRIA PECOS Y PECAS","URBANA","CAR 20 6B-02 LLANO ECHAVEZ","5694834","FABIOLA ELVIRA VERGEL","CENTRO EDUCATIVO",,,,"PREESCOLAR,BÁSICA PRIMARIA","MAÑANA",,,"-2,-1,0,1,2,3,4,5","EDUCACIÓN TRADICIONAL",,,,"1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","A",,,"-"
"NORTE SANTANDER","54","NORTE DE SANTANDER","54,405","LOS PATIOS","354,874,000,767","COL JOSE CELESTINO MUTIS","URBANA","CLL 19A 10-21 VIDELSO","5808113","NOHORA PATRICIA GAFARO","INSTITUCION EDUCATIVA",,,,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE",,,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","EDUCACIÓN TRADICIONAL",,,,"1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","A",,,"-"
"NORTE SANTANDER","54","NORTE DE SANTANDER","54,874","VILLA DEL ROSARIO","354,874,000,830","COL MIXTO SANTISIMA TRINIDAD","URBANA","CR 6 5-32 CENTRO","5701060","ANA BEATRIZ DAZA VERA","INSTITUCION EDUCATIVA",,,,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA",,"ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","EDUCACIÓN TRADICIONAL",,,,"1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","A",,,"-"
"NORTE SANTANDER","54","NORTE DE SANTANDER","54,518","PAMPLONA","354,518,001,091","LIC INF LA SAGRADA FAMILIA","URBANA","AV.SANTANDER 12-530 B. EL ZULIA","5682656","MARTHA PATRICIA LIZARAZO","CENTRO EDUCATIVO",,,,"PREESCOLAR","COMPLETA",,,"-3","EDUCACIÓN TRADICIONAL",,,,"1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","A",,,"-"
"NORTE SANTANDER","54","NORTE DE SANTANDER","54,261","EL ZULIA","354,261,000,594","LIC ALFONSO LOPEZ","URBANA","CLL 1. 9-52 B. ALFONSO LOPEZ","5789567","NURY GONZALEZ MARTINEZ","CENTRO EDUCATIVO",,,,"PREESCOLAR,BÁSICA PRIMARIA","MAÑANA",,,"-2,-1,0,1,2,3,4,5","EDUCACIÓN TRADICIONAL",,,,"1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","A",,,"-"
"NORTE SANTANDER","54","NORTE DE SANTANDER","54,498","OCAÑA","354,498,001,897","JARD INF JEAN PIAGET","URBANA","CLL 11 34-136","5613775","CLENY GUERRA","CENTRO EDUCATIVO",,,,"PREESCOLAR,BÁSICA PRIMARIA","MAÑANA",,,"-2,-1,0,1,2,3,4,5","EDUCACIÓN TRADICIONAL",,,,"1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","A",,,"-"
